
[2025-07-15 02:02:16] Pos: (-2.25, 28.18), Speed: 1.51 m/s, Yaw: 0.16, Traffic Light: Unknown, 
[2025-07-15 02:02:17] Pos: (-0.25, 28.18), Speed: 4.80 m/s, Yaw: 0.16, Traffic Light: Unknown, 
[2025-07-15 02:02:17] Pos: (2.07, 28.19), Speed: 2.82 m/s, Yaw: 0.15, Traffic Light: Unknown, 
[2025-07-15 02:02:18] Pos: (2.82, 28.19), Speed: 0.24 m/s, Yaw: 0.22, Traffic Light: Unknown, 
[2025-07-15 02:02:18] Pos: (3.43, 28.19), Speed: 2.36 m/s, Yaw: 0.25, Traffic Light: Unknown, 
[2025-07-15 02:02:19] Pos: (5.43, 28.20), Speed: 4.61 m/s, Yaw: 0.16, Traffic Light: Unknown, 
[2025-07-15 02:02:20] Pos: (7.65, 28.20), Speed: 2.86 m/s, Yaw: 0.16, Traffic Light: Unknown, 
[2025-07-15 02:02:20] Pos: (8.46, 28.21), Speed: 0.54 m/s, Yaw: 0.28, Traffic Light: Unknown, 
[2025-07-15 02:02:21] Pos: (9.86, 28.21), Speed: 4.07 m/s, Yaw: 0.21, Traffic Light: Unknown, 
[2025-07-15 02:02:21] Pos: (11.87, 28.22), Speed: 0.00 m/s, Yaw: 0.16, Traffic Light: Unknown, 
[2025-07-15 02:02:22] Pos: (11.94, 28.22), Speed: 0.78 m/s, Yaw: 0.15, Traffic Light: Unknown, 
[2025-07-15 02:02:23] Pos: (13.48, 28.22), Speed: 4.20 m/s, Yaw: 0.16, Traffic Light: Unknown, 
[2025-07-15 02:02:23] Pos: (16.20, 28.23), Speed: 3.71 m/s, Yaw: 0.16, Traffic Light: Unknown, 
[2025-07-15 02:02:24] Pos: (17.72, 28.23), Speed: 0.72 m/s, Yaw: 0.16, Traffic Light: Unknown, 
[2025-07-15 02:02:24] Pos: (18.15, 28.23), Speed: 1.88 m/s, Yaw: 0.16, Traffic Light: Unknown, 
[2025-07-15 02:02:25] Pos: (20.28, 28.24), Speed: 5.04 m/s, Yaw: 0.21, Traffic Light: Unknown, 
[2025-07-15 02:02:25] Pos: (22.46, 28.25), Speed: 3.27 m/s, Yaw: 0.17, Traffic Light: Unknown, 
[2025-07-15 02:02:26] Pos: (23.55, 28.25), Speed: 0.00 m/s, Yaw: 0.08, Traffic Light: Unknown, 
[2025-07-15 02:02:27] Pos: (23.61, 28.25), Speed: 0.72 m/s, Yaw: 0.10, Traffic Light: Unknown, 
[2025-07-15 02:02:27] Pos: (25.01, 28.25), Speed: 4.10 m/s, Yaw: 0.11, Traffic Light: Unknown, 
[2025-07-15 02:02:28] Pos: (26.95, 28.26), Speed: 0.00 m/s, Yaw: 0.16, Traffic Light: Unknown, 
[2025-07-15 02:02:28] Pos: (27.07, 28.26), Speed: 1.05 m/s, Yaw: 0.16, Traffic Light: Unknown, 
[2025-07-15 02:02:29] Pos: (28.41, 28.26), Speed: 4.12 m/s, Yaw: 0.16, Traffic Light: Unknown, 
[2025-07-15 02:02:29] Pos: (30.86, 28.27), Speed: 3.66 m/s, Yaw: 0.14, Traffic Light: Unknown, 
[2025-07-15 02:02:30] Pos: (31.39, 28.27), Speed: 0.55 m/s, Yaw: 0.09, Traffic Light: Unknown, 
[2025-07-15 02:02:31] Pos: (32.31, 28.27), Speed: 3.23 m/s, Yaw: 0.10, Traffic Light: Unknown, 
[2025-07-15 02:02:31] Pos: (34.71, 28.28), Speed: 3.85 m/s, Yaw: 0.18, Traffic Light: Unknown, 
[2025-07-15 02:02:32] Pos: (36.25, 28.29), Speed: 1.95 m/s, Yaw: 0.16, Traffic Light: Unknown, 
[2025-07-15 02:02:32] Pos: (36.53, 28.29), Speed: 1.29 m/s, Yaw: 0.21, Traffic Light: Unknown, 
[2025-07-15 02:02:33] Pos: (38.45, 28.29), Speed: 4.87 m/s, Yaw: 0.15, Traffic Light: Unknown, 
[2025-07-15 02:02:33] Pos: (40.95, 28.30), Speed: 1.77 m/s, Yaw: 0.15, Traffic Light: Unknown, 
[2025-07-15 02:02:34] Pos: (41.14, 28.30), Speed: 1.14 m/s, Yaw: 0.14, Traffic Light: Unknown, 
[2025-07-15 02:02:35] Pos: (42.48, 28.30), Speed: 4.11 m/s, Yaw: 0.15, Traffic Light: Unknown, 
[2025-07-15 02:02:35] Pos: (44.18, 28.31), Speed: 0.00 m/s, Yaw: 0.16, Traffic Light: Unknown, 
[2025-07-15 02:02:36] Pos: (44.30, 28.31), Speed: 1.08 m/s, Yaw: 0.15, Traffic Light: Unknown, 
[2025-07-15 02:02:36] Pos: (45.53, 28.31), Speed: 3.94 m/s, Yaw: 0.22, Traffic Light: Unknown, 
[2025-07-15 02:02:37] Pos: (47.33, 28.32), Speed: 3.42 m/s, Yaw: 0.23, Traffic Light: Unknown, 
[2025-07-15 02:02:37] Pos: (47.64, 28.32), Speed: 0.00 m/s, Yaw: 0.27, Traffic Light: Unknown, 
[2025-07-15 02:02:38] Pos: (47.93, 28.32), Speed: 1.74 m/s, Yaw: 0.22, Traffic Light: Unknown, 
[2025-07-15 02:02:39] Pos: (49.80, 28.32), Speed: 4.84 m/s, Yaw: 0.16, Traffic Light: Unknown, 
[2025-07-15 02:02:39] Pos: (52.00, 28.33), Speed: 3.16 m/s, Yaw: 0.16, Traffic Light: Unknown, 
[2025-07-15 02:02:40] Pos: (53.02, 28.33), Speed: 0.00 m/s, Yaw: 0.21, Traffic Light: Unknown, 
[2025-07-15 02:02:40] Pos: (53.39, 28.33), Speed: 1.95 m/s, Yaw: 0.18, Traffic Light: Unknown, 
[2025-07-15 02:02:41] Pos: (55.92, 28.34), Speed: 3.42 m/s, Yaw: 0.15, Traffic Light: Unknown, 
[2025-07-15 02:02:41] Pos: (56.13, 28.34), Speed: 0.01 m/s, Yaw: 0.15, Traffic Light: Unknown, 
[2025-07-15 02:02:42] Pos: (56.84, 28.34), Speed: 2.86 m/s, Yaw: 0.17, Traffic Light: Unknown, 
[2025-07-15 02:02:43] Pos: (59.22, 28.35), Speed: 4.18 m/s, Yaw: 0.19, Traffic Light: Unknown, 
[2025-07-15 02:02:43] Pos: (60.97, 28.35), Speed: 2.21 m/s, Yaw: 0.17, Traffic Light: Unknown, 
[2025-07-15 02:02:44] Pos: (61.66, 28.36), Speed: 2.04 m/s, Yaw: 0.20, Traffic Light: Unknown, 
[2025-07-15 02:02:44] Pos: (63.48, 28.36), Speed: 3.74 m/s, Yaw: 0.16, Traffic Light: Unknown, 
[2025-07-15 02:02:45] Pos: (65.03, 28.36), Speed: 1.84 m/s, Yaw: 0.17, Traffic Light: Unknown, 
[2025-07-15 02:02:45] Pos: (65.61, 28.36), Speed: 2.01 m/s, Yaw: 0.46, Traffic Light: Unknown, 
[2025-07-15 02:02:46] Pos: (67.32, 28.37), Speed: 3.60 m/s, Yaw: 0.23, Traffic Light: Unknown, 
[2025-07-15 02:02:46] Pos: (68.82, 28.37), Speed: 1.74 m/s, Yaw: 0.19, Traffic Light: Unknown, 
[2025-07-15 02:02:47] Pos: (69.05, 28.37), Speed: 0.99 m/s, Yaw: 0.25, Traffic Light: Unknown, 
[2025-07-15 02:02:47] Pos: (70.57, 28.38), Speed: 4.05 m/s, Yaw: 0.21, Traffic Light: Unknown, 
[2025-07-15 02:02:48] Pos: (72.40, 28.38), Speed: 2.47 m/s, Yaw: 0.16, Traffic Light: Unknown, 
[2025-07-15 02:02:49] Pos: (72.97, 28.39), Speed: 0.90 m/s, Yaw: 0.10, Traffic Light: Unknown, 
[2025-07-15 02:02:49] Pos: (74.43, 28.39), Speed: 4.21 m/s, Yaw: 0.16, Traffic Light: Unknown, 
[2025-07-15 02:02:50] Pos: (76.63, 28.40), Speed: 3.34 m/s, Yaw: 0.15, Traffic Light: Red, 
[2025-07-15 02:02:50] Pos: (77.54, 28.40), Speed: 0.00 m/s, Yaw: 0.15, Traffic Light: Red, 
[2025-07-15 02:02:51] Pos: (77.61, 28.40), Speed: 0.78 m/s, Yaw: 0.14, Traffic Light: Green, 
[2025-07-15 02:02:51] Pos: (78.95, 28.40), Speed: 3.96 m/s, Yaw: 0.17, Traffic Light: Green, 
[2025-07-15 02:02:52] Pos: (81.10, 28.41), Speed: 3.57 m/s, Yaw: 0.16, Traffic Light: Unknown, 
[2025-07-15 02:02:52] Pos: (82.52, 28.41), Speed: 0.17 m/s, Yaw: 0.12, Traffic Light: Unknown, 
[2025-07-15 02:02:53] Pos: (82.98, 28.41), Speed: 2.23 m/s, Yaw: 0.08, Traffic Light: Unknown, 
[2025-07-15 02:02:53] Pos: (84.98, 28.44), Speed: 4.94 m/s, Yaw: 0.95, Traffic Light: Unknown, 
[2025-07-15 02:02:54] Pos: (87.32, 28.64), Speed: 2.90 m/s, Yaw: 4.35, Traffic Light: Unknown, 
[2025-07-15 02:02:55] Pos: (88.22, 28.70), Speed: 0.06 m/s, Yaw: 3.87, Traffic Light: Unknown, 
[2025-07-15 02:02:55] Pos: (88.94, 28.79), Speed: 2.85 m/s, Yaw: 5.12, Traffic Light: Unknown, 
[2025-07-15 02:02:56] Pos: (91.17, 29.18), Speed: 4.25 m/s, Yaw: 10.29, Traffic Light: Unknown, 
[2025-07-15 02:02:56] Pos: (92.85, 29.82), Speed: 2.25 m/s, Yaw: 18.67, Traffic Light: Unknown, 
[2025-07-15 02:02:57] Pos: (93.25, 30.01), Speed: 0.84 m/s, Yaw: 20.63, Traffic Light: Unknown, 
[2025-07-15 02:02:57] Pos: (94.56, 30.75), Speed: 4.27 m/s, Yaw: 26.93, Traffic Light: Unknown, 
[2025-07-15 02:02:58] Pos: (96.45, 32.22), Speed: 3.76 m/s, Yaw: 38.43, Traffic Light: Unknown, 
