[2025-07-15 17:24:27] Pos: (334.66, 146.74), Speed: 3.47 m/s, Yaw: 88.05, Traffic Light: Unknown, 
[2025-07-15 17:24:28] Pos: (334.69, 148.13), Speed: 2.04 m/s, Yaw: 88.46, Traffic Light: Unknown, 
[2025-07-15 17:24:28] Pos: (334.71, 149.58), Speed: 3.14 m/s, Yaw: 88.88, Traffic Light: Unknown, 
[2025-07-15 17:24:29] Pos: (334.73, 150.94), Speed: 2.27 m/s, Yaw: 89.13, Traffic Light: Unknown, 
[2025-07-15 17:24:30] Pos: (334.75, 152.56), Speed: 2.86 m/s, Yaw: 89.33, Traffic Light: Unknown, 
[2025-07-15 17:24:30] Pos: (334.76, 153.83), Speed: 2.72 m/s, Yaw: 89.40, Traffic Light: Unknown, 
[2025-07-15 17:24:31] Pos: (334.77, 155.59), Speed: 2.78 m/s, Yaw: 89.63, Traffic Light: Unknown, 
[2025-07-15 17:24:31] Pos: (334.77, 156.85), Speed: 2.72 m/s, Yaw: 89.69, Traffic Light: Unknown, 
[2025-07-15 17:24:32] Pos: (334.78, 158.59), Speed: 2.79 m/s, Yaw: 89.75, Traffic Light: Unknown, 
[2025-07-15 17:24:32] Pos: (334.79, 159.85), Speed: 2.65 m/s, Yaw: 89.82, Traffic Light: Unknown, 
[2025-07-15 17:24:33] Pos: (334.79, 161.46), Speed: 2.62 m/s, Yaw: 89.87, Traffic Light: Unknown, 
[2025-07-15 17:24:33] Pos: (334.79, 162.76), Speed: 3.34 m/s, Yaw: 89.89, Traffic Light: Unknown, 
[2025-07-15 17:24:34] Pos: (334.79, 164.32), Speed: 2.03 m/s, Yaw: 89.92, Traffic Light: Unknown, 
[2025-07-15 17:24:34] Pos: (334.79, 165.78), Speed: 3.31 m/s, Yaw: 89.96, Traffic Light: Unknown, 
[2025-07-15 17:24:35] Pos: (334.79, 167.05), Speed: 1.85 m/s, Yaw: 89.97, Traffic Light: Unknown, 
[2025-07-15 17:24:35] Pos: (334.79, 168.65), Speed: 3.16 m/s, Yaw: 89.97, Traffic Light: Unknown, 
[2025-07-15 17:24:36] Pos: (334.79, 169.94), Speed: 2.30 m/s, Yaw: 89.98, Traffic Light: Unknown, 
[2025-07-15 17:24:37] Pos: (334.79, 171.85), Speed: 2.86 m/s, Yaw: 89.98, Traffic Light: Unknown, 
[2025-07-15 17:24:37] Pos: (334.79, 172.95), Speed: 1.96 m/s, Yaw: 89.99, Traffic Light: Unknown, 
[2025-07-15 17:24:38] Pos: (334.79, 174.72), Speed: 3.33 m/s, Yaw: 90.00, Traffic Light: Red, 
[2025-07-15 17:24:38] Pos: (334.79, 175.63), Speed: 0.00 m/s, Yaw: 90.01, Traffic Light: Red, 
[2025-07-15 17:24:39] Pos: (334.79, 175.63), Speed: 0.00 m/s, Yaw: 90.01, Traffic Light: Red, 
[2025-07-15 17:24:39] Pos: (334.79, 175.63), Speed: 0.00 m/s, Yaw: 90.01, Traffic Light: Red, 
[2025-07-15 17:24:40] Pos: (334.79, 175.63), Speed: 0.00 m/s, Yaw: 90.01, Traffic Light: Red, 
[2025-07-15 17:24:40] Pos: (334.79, 175.63), Speed: 0.00 m/s, Yaw: 90.01, Traffic Light: Red, 
[2025-07-15 17:24:41] Pos: (334.79, 175.63), Speed: 0.00 m/s, Yaw: 90.01, Traffic Light: Red, 
[2025-07-15 17:24:41] Pos: (334.79, 175.63), Speed: 0.00 m/s, Yaw: 90.01, Traffic Light: Red, 
[2025-07-15 17:24:42] Pos: (334.79, 175.63), Speed: 0.00 m/s, Yaw: 90.01, Traffic Light: Red, 
[2025-07-15 17:24:42] Pos: (334.79, 175.63), Speed: 0.00 m/s, Yaw: 90.01, Traffic Light: Red, 
[2025-07-15 17:24:43] Pos: (334.79, 175.63), Speed: 0.00 m/s, Yaw: 90.01, Traffic Light: Red, 
[2025-07-15 17:24:43] Pos: (334.79, 175.63), Speed: 0.00 m/s, Yaw: 90.01, Traffic Light: Red, 
[2025-07-15 17:24:44] Pos: (334.79, 175.63), Speed: 0.00 m/s, Yaw: 90.01, Traffic Light: Red, 
[2025-07-15 17:24:44] Pos: (334.79, 175.63), Speed: 0.00 m/s, Yaw: 90.01, Traffic Light: Red, 
[2025-07-15 17:24:45] Pos: (334.79, 175.63), Speed: 0.09 m/s, Yaw: 90.01, Traffic Light: Green, 
[2025-07-15 17:24:45] Pos: (334.79, 176.40), Speed: 2.95 m/s, Yaw: 90.01, Traffic Light: Green, 
[2025-07-15 17:24:46] Pos: (334.79, 178.04), Speed: 2.77 m/s, Yaw: 90.03, Traffic Light: Green, 
[2025-07-15 17:24:47] Pos: (334.79, 179.24), Speed: 2.73 m/s, Yaw: 90.03, Traffic Light: Green, 
[2025-07-15 17:24:47] Pos: (334.79, 180.80), Speed: 2.59 m/s, Yaw: 90.03, Traffic Light: Unknown, 
[2025-07-15 17:24:48] Pos: (334.79, 182.27), Speed: 3.38 m/s, Yaw: 90.04, Traffic Light: Unknown, 
[2025-07-15 17:24:48] Pos: (334.79, 183.93), Speed: 2.16 m/s, Yaw: 90.04, Traffic Light: Unknown, 
[2025-07-15 17:24:49] Pos: (334.79, 185.29), Speed: 3.62 m/s, Yaw: 90.16, Traffic Light: Unknown, 
[2025-07-15 17:24:49] Pos: (334.73, 186.99), Speed: 2.02 m/s, Yaw: 91.80, Traffic Light: Unknown, 
[2025-07-15 17:24:50] Pos: (334.50, 188.57), Speed: 3.42 m/s, Yaw: 97.23, Traffic Light: Unknown, 
[2025-07-15 17:24:50] Pos: (334.15, 189.91), Speed: 2.18 m/s, Yaw: 102.52, Traffic Light: Unknown, 
[2025-07-15 17:24:51] Pos: (333.46, 191.50), Speed: 3.09 m/s, Yaw: 111.35, Traffic Light: Unknown, 
[2025-07-15 17:24:52] Pos: (332.74, 192.51), Speed: 2.46 m/s, Yaw: 120.54, Traffic Light: Unknown, 
[2025-07-15 17:24:52] Pos: (331.78, 193.45), Speed: 3.20 m/s, Yaw: 130.81, Traffic Light: Unknown, 
[2025-07-15 17:24:53] Pos: (331.05, 193.94), Speed: 0.01 m/s, Yaw: 138.87, Traffic Light: Unknown, 
[2025-07-15 17:24:53] Pos: (330.93, 193.98), Speed: 1.06 m/s, Yaw: 140.86, Traffic Light: Unknown, 
[2025-07-15 17:24:54] Pos: (329.60, 194.30), Speed: 3.29 m/s, Yaw: 157.64, Traffic Light: Unknown, 
[2025-07-15 17:24:54] Pos: (328.31, 194.49), Speed: 1.94 m/s, Yaw: 166.40, Traffic Light: Unknown, 
[2025-07-15 17:24:55] Pos: (326.52, 194.64), Speed: 3.87 m/s, Yaw: 173.26, Traffic Light: Unknown, 
[2025-07-15 17:24:55] Pos: (324.97, 194.73), Speed: 2.08 m/s, Yaw: 175.55, Traffic Light: Unknown, 
[2025-07-15 17:24:56] Pos: (323.70, 194.80), Speed: 3.44 m/s, Yaw: 176.34, Traffic Light: Unknown, 
[2025-07-15 17:24:57] Pos: (322.17, 194.88), Speed: 1.88 m/s, Yaw: 176.82, Traffic Light: Unknown, 
[2025-07-15 17:24:57] Pos: (320.39, 194.95), Speed: 3.03 m/s, Yaw: 177.54, Traffic Light: Unknown, 
[2025-07-15 17:24:58] Pos: (319.34, 194.98), Speed: 1.01 m/s, Yaw: 178.02, Traffic Light: Unknown, 
[2025-07-15 17:24:58] Pos: (317.94, 195.01), Speed: 3.66 m/s, Yaw: 178.43, Traffic Light: Unknown, 
[2025-07-15 17:24:59] Pos: (316.41, 195.05), Speed: 2.04 m/s, Yaw: 178.61, Traffic Light: Unknown, 
[2025-07-15 17:24:59] Pos: (314.92, 195.07), Speed: 3.47 m/s, Yaw: 179.03, Traffic Light: Unknown, 
[2025-07-15 17:25:00] Pos: (313.48, 195.09), Speed: 2.00 m/s, Yaw: 179.24, Traffic Light: Unknown, 
